地區,屋齡,坪數,房,廳,衛,總價(萬),間數
大甲區,1,97.79,2,1,2,468,5
大甲區,0,66.85,1,1,1,320,3
大甲區,0,104.33,2,1,2,500,5
大甲區,0,129.13,2,2,2,620,6
大甲區,0,71.7,3,2,2,345,7
大甲區,1,66.85,1,1,1,322,3
大甲區,1,67.02,1,1,1,325,3
大甲區,0,149.35,3,1,2,728,6
大甲區,0,71.7,2,2,2,350,6
大甲區,0,128.93,3,1,2,630,6
大甲區,0,104.33,2,1,2,510,5
大甲區,0,104.33,2,1,2,511,5
大甲區,0,87.58,2,2,2,430,6
大甲區,0,87.37,2,2,2,430,6
大甲區,0,71.7,2,2,2,357,6
大甲區,0,131.96,3,1,2,658,6
大甲區,0,105.72,2,1,2,528,5
大甲區,1,67.02,1,1,1,335,3
大甲區,0,124.56,2,1,4,623,7
大甲區,1,66.85,1,1,1,335,3
大甲區,0,136.02,3,1,2,682,6
大甲區,0,128.93,3,1,2,650,6
大甲區,1,67.02,1,1,1,338,3
大甲區,0,82.96,3,2,2,420,7
大甲區,0,82.96,3,2,2,420,7
大甲區,0,71.7,2,2,2,363,6
大甲區,0,136.02,3,1,2,689,6
大甲區,0,82.96,3,2,2,426,7
大甲區,0,128.93,3,1,2,663,6
大甲區,0,82.96,3,2,2,427,7
大甲區,0,86.42,2,2,2,445,6
大甲區,0,104.33,2,1,2,538,5
大甲區,0,66.89,1,1,1,345,3
大甲區,0,128.93,3,1,2,665,6
大甲區,0,118.63,3,1,2,613,6
大甲區,0,82.96,3,2,2,430,7
大甲區,0,171.6,2,2,3,893,7
大甲區,0,71.7,2,2,2,378,6
大甲區,27,61.79,3,2,1,326,6
大甲區,0,71.7,2,2,2,380,6
大甲區,0,91.49,3,1,3,485,7
大甲區,0,82.96,3,2,2,440,7
大甲區,0,71.7,2,2,2,385,6
大甲區,0,109.39,3,2,2,588,7
大甲區,0,111.54,3,1,2,600,6
大甲區,0,66.85,1,1,1,360,3
大甲區,0,110.74,3,2,2,598,7
大甲區,0,82.96,3,2,2,448,7
大甲區,0,71.7,2,2,2,390,6
大甲區,1,238.94,2,3,3,1300,8
大甲區,0,82.96,3,2,2,455,7
大甲區,1,263.43,2,3,3,1450,8
大甲區,0,57.47,1,1,1,320,3
大甲區,1,57.47,1,1,1,324.8,3
大甲區,0,82.96,3,2,2,470,7
大甲區,0,82.96,3,2,2,470,7
大甲區,0,75.44,2,2,2,428,6
大甲區,0,75.44,2,2,2,428,6
大甲區,1,71.7,2,2,2,415,6
大甲區,0,65.26,2,2,2,380,6
大甲區,7,107.84,3,2,2,645,7
大甲區,0,79.58,2,2,1,488,5
大甲區,0,105.78,3,2,2,700,7
大甲區,1,67.44,2,2,1,450,5
大甲區,25,200.07,3,2,2,1800,7
大肚區,40,83.61,3,2,2,74,7
大肚區,39,46.92,3,2,1,62,6
大肚區,39,47.93,2,1,1,75,4
大肚區,39,47.93,2,1,1,75,4
大肚區,39,47.93,2,2,1,85,5
大肚區,24,115.52,3,2,2,215,7
大肚區,40,74.68,3,2,2,140,7
大肚區,40,62.7,4,2,1,130,7
大肚區,23,281.25,4,3,3,585,10
大肚區,26,128.03,3,2,2,290,7
大肚區,26,216.53,3,2,2,499,7
大肚區,39,49.13,2,2,1,120,5
大肚區,25,115.52,3,2,3,290,8
大肚區,24,115.52,3,2,3,295,8
大肚區,38,67.05,3,1,1,200,5
大肚區,38,73.16,3,2,2,220,7
大肚區,26,115.6,3,2,2,348,7
大肚區,26,100.67,3,2,2,305,7
大肚區,21,101.71,3,1,2,315,6
大肚區,27,105.33,3,2,2,330,7
大肚區,26,316.29,5,2,2,1000,9
大肚區,37,73.16,3,2,1,232,6
大肚區,39,83.61,3,2,2,266,7
大肚區,27,103.51,3,2,2,330,7
大肚區,39,97.16,6,2,3,310,11
大肚區,26,124.82,3,1,2,400,6
大肚區,27,99.34,3,2,2,320,7
大肚區,39,47.93,2,1,1,155,4
大肚區,25,104.25,3,2,2,345,7
大肚區,38,72.94,3,2,1,241.5,6
大肚區,40,18.67,2,1,1,62.8,4
大肚區,26,112.4,3,2,2,380,7
大肚區,38,73.16,3,2,1,250,6
大肚區,39,72.94,2,2,1,250,5
大肚區,21,94.23,3,2,2,330,7
大肚區,38,73.16,3,2,1,265,6
大肚區,39,62.7,2,2,2,230,6
大肚區,0,102.67,2,1,2,380,5
大肚區,38,72.94,2,2,1,275,5
大肚區,38,73.16,3,2,1,280,6
大肚區,40,83.61,3,2,2,320,7
大肚區,39,66.6,2,2,1,257.5,5
大肚區,37,73.16,3,2,1,283,6
大肚區,38,80.82,3,2,1,316,6
大肚區,38,67.18,3,2,1,270,6
大肚區,39,72.94,3,1,1,296,5
大肚區,40,83.61,3,2,2,354.8,7
大肚區,37,74.71,3,2,1,320,6
大肚區,28,95.6,3,2,2,410,7
大肚區,39,67.18,2,1,1,290,4
大肚區,39,83.61,3,1,2,365,6
大肚區,39,72.94,3,2,1,320,6
大肚區,40,83.61,3,2,2,370,7
大肚區,39,42.04,5,2,3,188,10
大肚區,0,94.48,3,1,1,428.1018,5
大肚區,29,84.97,3,2,1,390,6
大肚區,39,72.94,3,2,1,335,6
大肚區,0,94.48,3,1,1,434,5
大肚區,0,94.65,3,1,1,446.4489,5
大肚區,40,25.26,1,1,1,120,3
大肚區,0,98.12,3,1,1,469.8528,5
大肚區,0,97.02,3,1,1,465,5
大肚區,5,169.69,3,2,2,820,7
大肚區,0,94.46,3,1,1,457.16,5
大肚區,0,91.21,2,2,1,447,5
大肚區,5,139.6,2,2,1,685,5
大肚區,0,91.21,2,2,1,450,5
大肚區,0,94.65,3,1,1,467.071,5
大肚區,0,105.12,3,2,2,519,7
大肚區,0,78.51,2,2,1,388,5
大肚區,0,98.12,1,1,1,485,3
大肚區,0,97.02,3,1,1,480,5
大肚區,0,86.77,3,1,1,430,5
大肚區,0,94.65,3,1,1,470,5
大肚區,0,97.02,3,1,1,482,5
大肚區,0,106.6,3,1,1,532,5
大肚區,0,29.65,1,1,1,148,3
大肚區,0,91.38,2,2,1,457,5
大肚區,0,94.65,3,1,1,475,5
大肚區,0,91.55,2,2,1,460,5
大肚區,0,106.96,3,2,2,539,7
大肚區,0,91.21,2,2,1,460,5
大肚區,0,91.38,2,2,1,461,5
大肚區,0,84.4,3,1,1,428,5
大肚區,0,91.21,2,2,1,463,5
大肚區,39,69.9,3,2,2,355,7
大肚區,0,94.48,3,1,1,480.2112,5
大肚區,0,87.87,3,1,1,446.82,5
大肚區,0,84.23,3,1,1,430,5
大肚區,0,98.12,3,1,2,501.3432,6
大肚區,5,154.56,2,2,2,790,6
大肚區,0,91.55,2,2,1,468,5
大肚區,0,105.12,3,2,2,538,7
大肚區,0,91.21,2,2,1,468,5
大肚區,0,94.65,3,1,1,485.6904,5
大肚區,1,110.02,2,2,1,565,5
大肚區,0,91.21,2,2,1,470,5
大肚區,0,103.98,3,2,2,536,7
大肚區,0,103.98,3,2,2,538,7
大肚區,1,119.75,3,2,2,620,7
大肚區,0,105.12,3,2,2,545.5,7
大肚區,0,105.12,3,2,2,545.5,7
大肚區,0,103.98,3,2,2,540,7
大肚區,0,105.12,3,2,2,546,7
大肚區,0,107.03,3,2,2,556,7
大肚區,39,73.08,3,2,1,380,6
大肚區,0,105.12,3,2,2,547,7
大肚區,0,103.98,3,2,2,542,7
大肚區,0,84.23,3,1,1,439.8,5
大肚區,39,67.18,3,2,1,351,6
大肚區,0,91.1,3,2,2,476,7
大肚區,0,105.12,3,2,2,550,7
大肚區,0,105.12,3,2,2,550,7
大肚區,0,91.21,2,2,1,480,5
大肚區,0,91.21,2,2,1,480,5
大肚區,0,103.98,3,2,2,548,7
大肚區,0,91.38,2,2,1,482,5
大肚區,4,101.03,2,2,1,533,5
大肚區,0,107.03,3,2,2,565,7
大肚區,0,105.12,3,2,2,557,7
大肚區,0,103.98,3,2,2,551,7
大肚區,0,91.55,2,2,1,486,5
大肚區,0,91.38,2,2,1,486,5
大肚區,0,103.38,3,2,2,550,7
大肚區,0,91.21,2,2,1,486,5
大肚區,0,119.79,2,2,1,640,5
大肚區,0,192.94,3,2,2,1033,7
大肚區,0,103.98,3,2,2,557,7
大肚區,0,91.38,2,2,1,490,5
大肚區,0,103.38,3,2,2,555,7
大肚區,0,120.46,2,2,1,650,5
大肚區,0,105.12,3,2,2,568,7
大肚區,5,127.49,2,2,1,690,5
大肚區,0,104.83,3,2,2,568,7
大肚區,0,123.63,2,2,1,670,5
大肚區,5,169.69,3,2,2,920,7
大肚區,0,119.79,2,2,1,650,5
大肚區,0,119.79,2,2,1,650,5
大肚區,0,119.79,2,2,1,650,5
大肚區,0,119.79,2,2,1,650,5
大肚區,0,119.79,2,2,1,650,5
大肚區,5,132.68,2,2,1,720,5
大肚區,0,115.87,2,2,1,630,5
大肚區,0,146.61,3,2,2,798,7
大肚區,0,119.79,2,2,1,655,5
大肚區,0,147.8,3,2,2,810,7
大肚區,0,146.61,3,2,2,806,7
大肚區,0,119.79,2,2,1,660,5
大肚區,0,147.8,3,2,2,815,7
大肚區,0,120.46,2,2,1,665,5
大肚區,0,91.55,2,2,1,506,5
大肚區,0,120.46,2,2,1,666,5
大肚區,0,120.46,2,2,1,666,5
大肚區,0,91.21,2,2,1,505,5
大肚區,0,91.55,2,2,1,508,5
大肚區,0,119.79,2,2,1,666,5
大肚區,0,115.87,2,2,1,645,5
大肚區,0,104.83,3,2,2,585,7
大肚區,0,147.8,3,2,2,825,7
大肚區,0,91.21,2,2,1,510,5
大肚區,0,91.55,2,2,1,512,5
大肚區,0,147.8,3,2,2,828,7
大肚區,0,156.56,3,2,2,878,7
大肚區,0,115.87,2,2,1,650,5
大肚區,0,91.21,2,2,1,513,5
大肚區,0,138.58,3,2,2,780,7
大肚區,0,156.56,3,2,2,882,7
大肚區,0,119.79,2,2,1,675,5
大肚區,0,138.58,3,2,2,782,7
大肚區,0,120.46,2,2,1,681,5
大肚區,0,91.21,2,2,1,517,5
大肚區,0,120.46,2,2,1,683,5
大肚區,0,156.56,3,2,2,888,7
大肚區,0,156.56,3,2,2,888,7
大肚區,0,125.01,2,2,1,711,5
大肚區,0,138.58,3,2,2,789,7
大肚區,0,146.61,3,2,2,838,7
大肚區,0,146.61,3,2,2,838,7
大肚區,0,91.55,3,2,2,524,7
大肚區,0,119.56,3,1,1,684.393,5
大肚區,5,132.34,2,2,1,758,5
大肚區,0,146.4,3,2,2,839,7
大肚區,40,83.61,3,2,2,480,7
大肚區,0,147.8,3,2,2,850,7
大肚區,0,120.46,2,2,1,693,5
大肚區,0,156.56,3,2,2,901,7
大肚區,0,115.87,2,2,1,668,5
大肚區,0,138.58,3,2,2,800,7
大肚區,0,138.58,3,2,2,800,7
大肚區,0,138.58,3,2,2,800,7
大肚區,0,138.58,3,2,2,800,7
大肚區,39,67.18,3,2,2,388,7
大肚區,0,146.61,3,2,2,847,7
大肚區,0,99.33,3,2,2,575,7
大肚區,0,120.46,2,2,1,698,5
大肚區,0,156.56,3,2,2,908,7
大肚區,0,138.58,3,2,2,804,7
大肚區,0,147.8,3,2,2,858,7
大肚區,0,138.58,3,2,2,807,7
大肚區,0,115.87,2,2,1,675,5
大肚區,0,119.79,2,2,1,698,5
大肚區,0,156.56,3,2,2,913,7
大肚區,0,147.8,3,2,2,870,7
大肚區,0,95.11,3,1,1,560.2205,5
大肚區,0,138.58,3,2,2,818,7
大肚區,0,147.8,3,2,2,874,7
大肚區,0,138.58,3,2,2,820,7
大肚區,0,119.79,2,2,1,710,5
大肚區,0,156.56,3,2,2,930,7
大肚區,0,115.87,2,2,1,690,5
大肚區,0,156.56,3,2,2,933,7
大肚區,0,146.61,3,2,2,875,7
大肚區,0,156.56,3,2,2,935,7
大肚區,0,138.58,3,2,2,830,7
大肚區,0,138.58,3,2,2,831,7
大肚區,40,74.68,3,2,2,450,7
大肚區,0,125.01,2,2,1,754,5
大肚區,0,120.46,2,2,1,735,5
大肚區,0,138.58,3,2,2,854,7
大肚區,0,156.56,3,2,2,968,7
大肚區,0,138.58,3,2,2,860,7
大肚區,4,69.27,1,1,1,438,3
大肚區,0,83.41,2,2,1,538,5
大肚區,0,83.41,2,2,1,545,5
大肚區,4,68.62,1,1,1,450,3
大肚區,0,102.2,3,2,2,680,7
大肚區,0,87.25,2,2,1,594,5
大肚區,0,83.41,2,2,1,574,5
大肚區,0,110.23,3,2,2,760,7
大肚區,0,84.08,2,2,1,587,5
大肚區,0,84.08,2,2,1,590,5
大肚區,0,79.49,2,2,1,563,5
大肚區,40,83.61,2,1,1,600,4
大肚區,0,84.08,2,2,1,617,5
大肚區,40,74.68,3,1,2,600,6
大肚區,60,96.6,4,2,3,1088,9
大肚區,46,95.02,2,1,1,1600,4
大里區,30,152.4,3,2,2,95,7
大里區,28,94.53,2,1,1,60,4
大里區,29,117.56,3,2,2,99.7829,7
大里區,39,70.94,2,1,1,90,4
大里區,41,74.77,3,2,2,100,7
大里區,40,80.26,3,1,1,126.6653,5
大里區,25,138.55,3,2,2,220,7
大里區,29,171.56,4,1,2,300,7
大里區,29,147.02,4,2,2,300,8
大里區,0,464.15,3,2,2,1004,7
大里區,3,257.76,2,2,1,570,5
大里區,0,137.38,3,2,2,315,7
大里區,0,238.45,2,2,1,580,5
大里區,0,302.69,3,2,2,763,7
大里區,41,66.85,3,1,1,170,5
大里區,0,238.45,2,2,1,615,5
大里區,0,69.39,3,2,1,180,6
大里區,4,442.07,3,2,2,1153,7
大里區,27,133.7,3,1,1,350,5
大里區,0,251.21,2,2,1,674,5
大里區,0,251.21,2,2,1,678,5
大里區,0,252.37,2,2,1,686,5
大里區,37,84.13,2,2,1,232,5
大里區,0,252.37,2,2,1,698,5
大里區,41,82.55,3,2,1,230,6
大里區,28,103.76,3,2,2,290,7
大里區,25,123.18,3,2,2,353,7
大里區,37,73.26,3,2,2,210,7
大里區,26,58.89,3,1,2,169,6
大里區,25,160.14,3,2,2,460,7
大里區,39,76.33,2,2,1,220,5
大里區,37,96.74,3,2,1,280,6
大里區,41,68.63,2,2,1,200,5
大里區,25,140.14,3,2,2,410,7
大里區,29,86.43,3,2,2,253,7
大里區,26,174.58,3,3,1,520,7
大里區,25,141.33,3,2,2,425,7
大里區,38,86.61,3,2,1,267,6
大里區,28,145.07,2,2,2,448,6
大里區,35,93.74,3,1,2,290,6
大里區,40,83.78,3,1,1,260,5
大里區,39,105.85,3,2,2,330,7
大里區,40,105.06,6,2,3,328,11
大里區,27,139.27,3,2,2,437,7
大里區,30,159.25,3,2,2,500,7
大里區,26,158.45,3,2,2,500,7
大里區,41,72.54,3,1,1,230,5
大里區,2,510.68,3,2,2,1622.4,7
大里區,29,136.8,3,1,2,435,6
大里區,32,110.02,3,2,2,350,7
大里區,25,156.42,4,2,2,500,8
大里區,30,99.89,2,2,2,320,6
大里區,29,211.15,4,2,2,680,8
大里區,27,111.77,3,2,2,360,7
大里區,41,158.2,3,3,2,510,8
大里區,27,129.2,3,2,2,418,7
大里區,28,85.89,3,2,2,279,7
大里區,40,96.91,3,2,2,315,7
大里區,30,150.15,3,2,2,490,7
大里區,25,136.21,3,2,2,445,7
大里區,26,198.97,3,2,3,655,8
大里區,38,84.13,2,2,2,280,6
大里區,35,115.62,4,1,2,385,7
大里區,35,44.81,1,1,1,150,3
大里區,39,80.57,3,2,1,270,6
大里區,39,99.9,3,1,1,335,5
大里區,26,238.22,3,2,2,800,7
大里區,41,66.95,3,2,1,225,6
大里區,27,94.78,2,1,1,320,4
大里區,28,150.34,3,2,2,508,7
大里區,27,118.35,3,2,2,402,7
大里區,29,99.69,3,2,2,340,7
大里區,26,148.87,4,2,2,510,8
大里區,38,64.15,2,2,1,220,5
大里區,36,81.49,3,2,1,280,6
大里區,27,139.27,3,2,2,480,7
大里區,41,133.38,4,2,2,460,8
大里區,25,130.4,2,1,1,450,4
大里區,27,95.58,3,2,2,330,7
大里區,27,170.53,4,2,2,590,8
大里區,15,69.22,4,2,2,240,8
大里區,40,87.07,3,2,1,302,6
大里區,25,79.31,3,1,1,276,5
大里區,26,94.31,2,1,1,330,4
大里區,28,156.9,2,1,1,550,4
大里區,37,85.51,2,1,1,300,4
大里區,27,95.34,3,2,2,335,7
大里區,28,141.93,3,2,2,500,7
大里區,27,53.67,3,2,2,190,7
大里區,27,93.18,3,1,1,330,5
大里區,27,163.43,3,1,2,580,6
大里區,28,204.66,4,2,2,728,8
大里區,26,94.35,3,2,1,336,6
大里區,38,84.13,4,2,2,300,8
大里區,27,121.73,3,2,2,435,7
大里區,30,172.01,4,2,2,616,8
大里區,27,113.83,3,2,2,408,7
大里區,1,254.57,2,1,1,913,4
大里區,6,153.3,3,2,2,550,7
大里區,27,113.67,3,2,2,408,7
大里區,27,127.29,3,2,2,460,7
大里區,26,69.12,1,2,1,250,4
