區域,屋齡,建坪,間數,車位,總價(萬),亂數排列
北區,2,89.55,3,有,800,0.656575945
西屯區,26,110.49,7,無,500,0.280716663
大里區,39,117.76,9,無,1300,0.614642013
沙鹿區,29,309.98,15,無,1100,0.09466761
豐原區,44,188.86,13,無,1730,0.8777783
太平區,28,118.36,7,無,385,0.81669331
南區,22,198.2,12,無,1680,0.738960852
北屯區,27,146.17,7,有,600,0.64233974
霧峰區,23,171.21,8,有,530,0.728693474
大里區,0,119.8,5,有,687,0.199414106
后里區,3,142.35,7,有,780,0.555708274
梧棲區,37,66.45,5,無,270,0.126091364
大里區,0,164.78,9,無,1250,0.3223911
太平區,29,120.67,12,無,164.4054,0.216422501
北區,34,990.49,68,無,4800,0.062926419
東區,23,112.98,7,無,435,0.372336581
南屯區,46,63.56,6,無,948,0.023746804
大里區,0,84.19,4,有,595,0.286696408
太平區,36,216.63,8,無,1480,0.418504185
西屯區,38,168.28,10,無,1700,0.273883684
南屯區,0,348.21,12,無,3980,0.670359252
西屯區,6,276.62,7,有,2580,0.896243495
北區,47,117.31,12,無,1280,0.019949909
北區,40,91.18,7,無,372,0.465804592
大雅區,26,118.04,7,有,473,0.598600296
太平區,42,74.2,6,無,850,0.72442838
清水區,0,104.02,5,無,482,0.56840247
北屯區,2,367.66,8,有,2926,0.358455104
北屯區,0,124.31,4,有,782,0.714180596
北區,4,234.49,8,有,1650,0.865677898
太平區,0,155.73,7,有,940,0.907420778
太平區,26,135.56,7,有,350,0.493275962
清水區,0,157.38,7,有,628,0.220916174
南區,27,100.83,5,有,470,0.97648669
清水區,0,157.65,7,有,660,0.344976946
太平區,36,143.66,9,無,1550,0.128175254
中區,1,28.56,3,無,268,0.646884978
南屯區,0,64.08,3,無,612,0.773532708
沙鹿區,13,39.9,6,無,290,0.815836077
大肚區,40,74.68,7,無,450,0.056997615
沙鹿區,0,72.66,5,無,327,0.545938089
西屯區,0,218.84,8,有,1750,0.788739856
北區,28,109.88,6,有,600,0.268291749
沙鹿區,0,133.15,5,有,685,0.230190124
潭子區,25,105.73,6,有,470,0.839230538
烏日區,25,130.34,8,有,520,0.661180957
北屯區,9,223.55,11,無,1880,0.837986771
太平區,29,126.03,6,有,400,0.392304634
清水區,1,228.68,11,無,1045,0.512976398
北屯區,0,156.72,7,有,997,0.110475272
北屯區,29,138.16,7,無,600,0.03088903
沙鹿區,1,112.41,5,有,480,0.892818285
北屯區,21,188.58,9,無,1250,0.485242599
大里區,2,113.36,5,有,668,0.576300723
北區,42,109.62,8,無,2430,0.965852326
潭子區,26,156.08,8,有,815,0.990969255
沙鹿區,16,140.83,9,無,663,0.764150221
烏日區,0,127.02,5,有,600,0.665383422
太平區,0,147.07,7,有,800,0.728031527
北屯區,0,281.7,8,有,2804,0.06683777
北屯區,49,62.33,5,無,380,0.161261628
神岡區,19,76.5,5,無,1030,0.549447839
太平區,6,165.28,7,有,800,0.591244793
南區,12,111.81,4,有,738,0.68390655
大里區,0,150.16,7,有,870,0.145962902
南屯區,11,252.64,7,有,2450,0.604021872
北屯區,0,300.19,12,無,2700,0.282077009
豐原區,54,73.74,6,無,590,0.006001591
沙鹿區,42,112.62,8,無,800,0.055631781
東區,0,159.11,7,有,1072,0.854215437
南區,28,85.78,7,無,470,0.785752666
龍井區,0,175.99,10,無,828,0.533066911
北屯區,0,109.55,5,有,624,0.777428131
清水區,0,197.3,9,無,880,0.033679034
南區,13,136.12,7,無,660,0.408140269
大肚區,0,98.44,7,無,790,0.949922701
北屯區,0,217.43,8,有,1685,0.989660209
大里區,6,98.72,5,有,808,0.542637915
北區,31,35.51,3,無,160,0.818598266
西屯區,3,156.41,7,有,1000,0.644912929
西屯區,5,344.54,8,有,2380,0.412315962
太平區,7,166.27,4,有,650,0.871565719
豐原區,0,59.62,5,無,405,0.71489515
沙鹿區,0,116.57,5,有,730,0.893654773
北屯區,5,177.32,7,有,1305,0.577372572
西區,1,155.48,7,有,1360,0.28455325
大里區,0,130.46,5,有,744,0.891527781
西屯區,15,155.3,6,有,1180,0.370451635
西區,30,152.56,7,有,772,0.897286806
南屯區,0,173.55,7,有,1737,0.206139667
北區,25,28.92,3,無,155,0.96274191
烏日區,0,127.06,6,有,643,0.264926148
大里區,0,173.38,7,有,1050,0.41180444
南屯區,0,64.7,3,無,571,0.046437787
石岡區,43,93.3,8,無,315,0.55461343
南屯區,0,105.93,5,有,990,0.013147152
太平區,25,156.7,10,有,790,0.388905322
北屯區,0,149.34,7,有,1011,0.473566316
西屯區,14,111.2,4,有,850,0.233913403
南屯區,3,150.25,6,有,1105,0.127061057
外埔區,0,98.01,5,無,380,0.085394714
大里區,7,156.26,7,有,935,0.928992435
烏日區,4,130.55,5,有,715,0.613846277
南屯區,0,212.1,7,有,1970,0.109413929
北屯區,14,254.32,12,無,2628,0.185609408
西屯區,1,233.21,7,有,1865,0.199288606
南屯區,13,141.35,7,有,1330,0.920415226
西屯區,0,126.63,5,有,991,0.621399723
西區,45,107.38,9,無,1150,0.922050647
北屯區,0,143.87,6,有,740,0.379302205
太平區,7,164.77,10,無,1780,0.317444627
北屯區,28,122.58,7,有,530,0.217672333
北屯區,0,205.6,7,有,1210,0.622510355
大里區,3,169.23,7,有,802,0.010056218
北屯區,0,169.78,7,有,1255,0.276427991
西區,4,349.13,15,無,3330,0.023391015
中區,50,62.27,4,無,320,0.653939404
清水區,0,180.96,7,有,732,0.818470021
南屯區,11,266.26,7,有,2200,0.594297266
西屯區,27,35.09,3,無,200,0.067537882
北屯區,33,133.2,10,無,1146,0.981120486
豐原區,27,84.38,5,無,350,0.587343544
烏日區,0,158.66,7,有,839,0.461308015
南屯區,0,350.51,8,有,4743,0.043517919
北屯區,0,155.94,7,有,879,0.341684098
豐原區,0,160.32,7,有,700,0.997710292
大甲區,30,169.68,7,無,412,0.054427434
清水區,0,158.87,7,有,638,0.040575811
西屯區,24,117.43,7,無,595,0.233277952
大雅區,26,128.12,7,有,560,0.539956234
大里區,2,160.88,7,有,1000,0.460289853
西屯區,27,155.67,8,有,848,0.329345799
南區,52,76.29,7,無,430,0.21937479
大甲區,0,164.54,10,無,1300,0.344930443
大里區,0,125.01,5,有,727,0.615200859
南屯區,0,109.29,4,有,599,0.127892023
沙鹿區,3,196.51,11,無,1250,0.495212163
豐原區,0,130.54,7,有,645,0.561823307
梧棲區,1,244.98,12,無,1520,0.64783226
沙鹿區,41,109.6,9,無,670,0.731309899
北屯區,1,118.01,5,有,595,0.205782192
北區,27,136.35,5,無,510,0.8213506
東區,0,158.29,7,有,999,0.0225866
北屯區,1,259.25,9,無,1200,0.498951327
大里區,6,147.43,6,有,950,0.560007771
烏日區,25,105.74,6,無,399.375,0.812908955
清水區,0,140.81,5,有,532,0.101754782
清水區,15,194.28,10,無,820,0.984707038
沙鹿區,5,259.26,15,無,1420,0.092579177
南屯區,5,393.09,14,無,3980,0.337378235
西屯區,7,133.84,6,有,940,0.838367348
豐原區,40,77.56,10,無,680,0.481442521
西屯區,4,190.57,7,有,1650,0.940533286
太平區,0,187.94,10,無,1880,0.660115068
南區,0,170.22,7,有,1068,0.771942701
北區,10,85.34,7,有,520,0.414762011
豐原區,31,252.25,14,無,1225,0.696855563
清水區,0,125.55,8,無,805,0.609332
梧棲區,40,84,5,無,230,0.948645687
龍井區,0,200.21,10,無,960,0.239280392
大雅區,14,181.48,9,無,1350,0.345894897
北屯區,0,130.39,4,有,898,0.251435785
豐原區,0,192,7,有,910,0.517220132
南屯區,8,217.07,7,有,1969,0.463428329
北屯區,3,336.56,31,無,4460,0.709307118
烏日區,0,213.53,8,有,1068,0.640886108
南屯區,0,80.49,5,有,857,0.871395989
東勢區,39,193.16,13,無,680.0001,0.085600674
北屯區,8,203.22,7,有,1380,0.483311825
后里區,29,180.42,11,無,530,0.234957738
北屯區,9,103.86,5,有,670,0.134147326
西屯區,2,274.63,7,有,3500,0.39797524
北屯區,27,142.42,7,有,665,0.071145558
西區,22,130.36,7,無,740,0.568081698
太平區,25,145.49,7,有,475,0.075421542
北區,13,65.6,3,無,440,0.685826278
大里區,0,74.12,5,無,389,0.13632324
西屯區,11,146.51,7,有,1096,0.767503443
大里區,0,181.59,7,有,958,0.154357197
沙鹿區,0,114.02,4,有,498,0.375818448
西屯區,35,106.31,7,無,600,0.291901883
梧棲區,0,178.24,8,無,925,0.785912347
西屯區,0,58.9,4,無,498,0.561988802
南屯區,26,154.26,8,有,970,0.320568579
南屯區,39,109.2,8,無,920,0.070647664
南區,4,226.25,7,有,1900,0.025378222
豐原區,0,150.47,7,有,998,0.325955235
南屯區,0,157.81,7,有,900,0.994849786
大雅區,26,119.35,7,有,512,0.32686152
大里區,2,164.4,7,有,770,0.39235888
清水區,0,95.33,5,有,470,0.877363155
北區,23,180.84,6,無,1260,0.914848352
西屯區,15,355.2,8,有,3500,0.607732708
西屯區,24,137.73,7,有,830,0.80447243
烏日區,1,185.96,10,無,1276,0.595042424
北屯區,8,165.44,7,有,930,0.841801316
龍井區,8,112.88,7,有,520,0.996845301
南屯區,0,136.26,6,有,818,0.851193807
清水區,0,131.5,8,無,800,0.628686463
南屯區,1,316.3,7,有,3338,0.412301002
西屯區,15,145.1,7,有,1180,0.10092406
北屯區,0,124.31,4,有,830,0.848413679
北屯區,29,211.83,8,有,858,0.466818013
沙鹿區,5,230.03,12,無,1125,0.484614446
清水區,0,201.25,8,有,799,0.592162813
潭子區,27,123.43,7,有,558,0.670941989
南屯區,25,92.73,5,無,475,0.101464675
龍井區,0,202.13,10,無,762,0.78647141
梧棲區,2,165.64,10,無,910,0.564207283
豐原區,16,52.95,3,無,256.8,0.425947624
大里區,0,70.18,4,無,556,0.01074486
太平區,1,195.01,13,無,1840,0.290488895
西區,1,157.48,7,有,1388,0.095896951
清水區,39,127.62,10,無,621,0.847284925
西屯區,0,126.25,5,有,990,0.984948277
清水區,0,153.26,7,有,578,0.186557631
豐原區,30,447.25,11,無,15251.45,0.333390658
潭子區,24,169.62,7,無,580,0.923444439
北區,28,289.92,9,有,1100,0.094264152
北區,12,145.04,7,有,1100,0.340194434
南屯區,24,255.93,8,有,1690,0.072735896
南屯區,0,109.77,4,有,583,0.574269516
南區,25,113.91,7,有,572,0.11868863
北屯區,2,222.88,8,有,2000,0.684789121
沙鹿區,0,131.19,5,有,587,0.919389789
西屯區,21,142.85,7,有,880,0.568205085
西屯區,5,375.61,10,無,3388,0.433135153
西屯區,24,142.26,7,無,650,0.652767302
西屯區,28,81.14,5,無,468,0.961687471
西屯區,13,198.88,10,無,1800,0.773236867
清水區,0,202.77,8,有,848,0.163998557
北屯區,27,102.22,7,無,580,0.508109922
西屯區,24,130.35,7,無,530,0.911914514
梧棲區,1,245.03,12,無,1520,0.170626356
西屯區,0,91,5,有,860,0.519290637
北區,12,33.07,3,無,280,0.114776593
北區,12,32.34,3,無,285,0.500873879
北屯區,2,264.56,8,有,2268,0.427479391
東區,13,103.08,5,有,550,0.80896669
大雅區,0,161.11,10,無,1200,0.088904493
北屯區,0,155.94,7,有,834,0.595716013
烏日區,41,106.46,11,無,1300,0.574603781
豐原區,23,117.08,7,有,560,0.004772673
東勢區,36,638.88,6,無,180,0.972519037
南區,24,194.64,13,無,1345,0.257157408
西區,39,108.93,7,無,530,0.548669336
大里區,35,93.74,6,無,290,0.854340977
西區,24,43.31,3,無,168,0.916054602
大里區,45,109.8,11,無,750,0.930142778
北區,0,120.8,5,有,758,0.400340746
龍井區,39,111.36,9,無,778,0.847793123
大肚區,25,152.46,12,無,680,0.058824717
清水區,0,106.4,5,有,412,0.599820387
南屯區,27,149.86,6,有,1472,0.450849958
沙鹿區,0,86.05,3,有,427,0.056735282
南區,15,142.57,5,無,1760,0.072268751
潭子區,20,81.21,5,無,468,0.115399283
豐原區,0,160.32,7,有,778,0.292121472
太平區,27,179.66,10,無,700,0.554100243
西區,19,165.28,7,無,1030,0.817038058
太平區,40,83.52,7,無,850,0.019662241
清水區,0,76.69,5,無,347,0.819313448
大里區,12,178.75,7,有,988,0.945739811
烏日區,6,151.44,7,有,865,0.235129259
沙鹿區,0,74.91,5,無,355,0.348097915
北區,25,31.56,3,無,135,0.760569954
北屯區,0,218.27,7,有,1880,0.562687666
南區,45,90.72,9,無,838,0.995921565
太平區,28,121.48,7,無,595,0.464740598
南屯區,2,202.22,7,有,2080,0.438085868
沙鹿區,0,59.56,5,無,419,0.042209772
西區,24,140.35,8,有,965,0.950240248
北屯區,12,95.82,4,有,825,0.855362573
北區,26,50.44,3,無,144.97,0.751484896
大里區,4,194.3,8,有,1142,0.356422073
西區,33,222.63,7,無,2420,0.698920613
西屯區,4,199.01,7,有,1542,0.200995824
南區,3,174.97,6,有,1435,0.963784333
東區,15,271.63,15,無,2700,0.989258427
北區,1,129.19,5,有,939,0.466588265
烏日區,6,187.76,6,有,818,0.217566262
西屯區,39,114.76,7,無,568,0.288228039
西屯區,5,342.78,8,有,3845,0.453448858
北屯區,39,79.32,9,無,900,0.191880914
太平區,42,132.14,9,無,2100,0.309173251
南屯區,1,235.44,10,無,3100,0.422134562
清水區,0,159.04,7,有,582,0.607033685
西屯區,36,137.08,12,無,1580,0.40734099
沙鹿區,9,209.93,17,無,1080,0.977620097
神岡區,25,199.92,10,無,1180,0.020615688
西屯區,2,246.35,12,無,2050,0.160984007
北屯區,0,162.81,7,有,850,0.748503721
西區,26,83.59,4,無,430,0.100317131
北屯區,1,222.88,8,有,1925,0.86771388
西屯區,0,58.9,4,無,511,0.251742921
西區,44,81.3,6,無,385,0.922542748
南屯區,0,140.29,6,有,783,0.569219115
南屯區,0,255.35,8,有,2489,0.167577759
烏日區,0,123.72,6,有,606,0.880398854
西屯區,26,135.77,7,有,820,0.437755732
梧棲區,0,160.24,8,無,828,0.2421326
西屯區,30,145.76,7,有,700,0.336839398
南屯區,0,142.05,6,有,858,0.79535319
北區,27,100.95,6,無,439.3,0.120015682
南屯區,0,108.12,4,有,625,0.787938621
北屯區,26,113.27,7,有,685,0.248016025
南屯區,4,259.3,8,有,1870,0.815050533
北屯區,2,149.26,7,有,970,0.29854008
西屯區,11,142.93,5,有,1170,0.984045795
大里區,7,207.42,8,有,1250,0.627496369
清水區,0,180.49,10,無,798,0.038906785
太平區,0,202.03,6,有,1200,0.664742039
南屯區,1,107.5,3,有,650,0.116406237
大里區,2,164.06,7,有,1000,0.658137046
沙鹿區,0,226.67,12,無,2072,0.168059618
西屯區,10,119.38,4,有,878,0.939587721
清水區,0,61.66,3,無,318,0.944972241
南屯區,22,277.92,11,有,1925,0.49025928
大里區,28,204.66,8,有,728,0.581256632
西屯區,40,84.34,11,無,512,0.326699393
西屯區,28,157.06,7,無,815,0.547717282
東區,3,171.27,7,有,1060,0.733304196
西區,51,145.74,10,無,1150,0.588206827
北屯區,27,34.81,3,無,205,0.574291008
北區,39,44.28,3,無,208,0.948360327
西屯區,23,138,7,有,980,0.231788597
北屯區,14,241.35,13,無,1882,0.938723306
霧峰區,23,243.83,18,無,1738,0.419500148
北屯區,25,155.09,5,有,618,0.925993852
北區,0,175.35,7,有,1238,0.199588756
北屯區,5,170.79,7,有,949,0.424257599
太平區,0,164.18,6,有,1018,0.126173848
南屯區,0,101.12,5,有,1018,0.226795778
西屯區,0,131.29,5,有,1058,0.030410905
大里區,1,164.84,7,有,995,0.203131053
西屯區,1,203.45,7,有,1600,0.311531986
南屯區,0,63.32,3,無,603,0.740182823
西屯區,5,249.94,8,有,1730,0.395136235
神岡區,34,120.31,7,無,500,0.655417561
西區,32,103.47,7,無,535,0.842738806
西屯區,38,101.14,7,無,560,0.376274777
西區,19,127.31,7,有,1160,0.713319
南屯區,27,118.01,7,有,762,0.656157186
北屯區,0,132.28,7,有,1000,0.025731611
北屯區,3,253.98,8,有,2100,0.657780115
清水區,0,162.66,7,有,598,0.044361141
大里區,1,167.76,7,有,950,0.964411733
大里區,0,125.65,5,有,675,0.544410321
北屯區,35,130.12,10,無,1270,0.906328152
豐原區,52,94.74,7,無,508,0.770274278
梧棲區,2,219.34,10,無,1160,0.7001238
南屯區,0,123.39,4,有,920,0.333636013
清水區,1,205.36,11,無,902,0.27106329
沙鹿區,27,120.37,9,無,780,0.368487403
北屯區,28,137.36,7,有,580,0.247312755
北屯區,0,167.86,7,有,1152,0.276139602
南區,0,243.26,11,無,2200,0.108466151
西區,25,35.55,3,無,146,0.835069597
清水區,27,140.85,7,有,490,0.424427921
西屯區,11,143.2,7,有,1090,0.088569733
霧峰區,17,175.39,10,無,1100,0.252150806
太平區,0,159.47,7,有,862,0.794509183
西區,2,357.61,13,無,3680,0.955880077
大雅區,0,169.68,10,無,1150,0.627993757
沙鹿區,1,161.44,11,無,1500,0.178694356
西屯區,20,260.97,10,有,1508,0.10667203
南區,6,146.76,7,有,1069,0.151279933
潭子區,23,293.06,11,無,1455,0.60342578
北屯區,1,222.88,8,有,1868,0.519219123
太平區,0,146.17,7,有,852,0.471944182
太平區,40,159.58,10,無,2900,0.260584174
南屯區,13,311.84,12,無,3700,0.038781175
北區,21,161.03,7,有,928,0.478180952
清水區,0,119.85,5,有,428,0.73960959
豐原區,0,166.36,6,有,1025,0.368297999
大肚區,0,115.87,5,有,690,0.045032089
大雅區,2,161.32,9,無,1235,0.418887248
豐原區,2,154.94,7,有,970,0.169291556
太平區,21,115.36,7,有,510,0.648072498
豐原區,44,466.18,9,無,3080,0.842464881
西區,22,196.04,8,有,1458.6,0.442019531
龍井區,0,171.91,10,無,930,0.790639698
西區,27,96.77,5,有,590,0.731984486
南屯區,2,142.62,7,有,1410,0.97673032
南區,1,154.58,7,有,1150,0.879045191
大里區,0,86.68,5,無,498,0.44397182
東區,5,145.86,7,有,1038,0.679394237
西區,51,106.68,9,無,1700,0.650649705
南區,14,143.41,7,有,777,0.015512862
北屯區,26,107.03,7,無,540,0.9498078
潭子區,0,153.35,7,有,1114,0.698712295
潭子區,25,75.83,5,無,435,0.82669983
西屯區,2,85.12,5,有,1045,0.926095103
清水區,0,176.96,9,無,836,0.361666386
西屯區,0,293.72,7,有,4214.7648,0.626329443
南區,45,251.84,10,無,1718,0.169844452
西屯區,6,261.18,8,有,2085,0.758277293
北區,12,28.33,3,無,272,0.072145524
龍井區,0,167.48,10,無,818,0.152724738
西屯區,22,154.62,8,無,895,0.214743767
西屯區,34,143.72,9,無,660,0.718072914
大雅區,1,223.69,10,無,2070,0.233942615
大里區,17,112.36,6,有,665,0.478807002
烏日區,0,127.06,4,有,698,0.072908398
北區,1,296.51,9,有,2228,0.371741332
清水區,0,114.02,5,有,402,0.186190597
北屯區,26,129.28,7,有,850,0.673498568
烏日區,0,124.79,6,有,638,0.934897193
西屯區,25,29.75,3,無,180,0.446825108
南屯區,0,86.91,3,有,732,0.797840014
西區,24,65.75,5,有,520,0.22390396
豐原區,16,49.45,3,無,300,0.996327176
西屯區,0,124.01,5,有,1048,0.271332964
太平區,0,158.52,7,有,949,0.982766526
西區,41,114.46,7,無,300,0.459964086
清水區,0,162.66,7,有,598,0.048456663
北屯區,22,173.88,8,有,900,0.008558644
北區,15,115.6,7,無,650,0.433933653
豐原區,1,141.38,6,有,890,0.400446906
大里區,30,109.87,5,無,600,0.048202529
北屯區,35,372.68,7,無,2000,0.860195471
清水區,0,74.67,5,無,326,0.414520908
北區,1,296.29,9,有,2222,0.978961749
西區,37,68.8,5,無,286,0.22605708
清水區,0,95.73,3,有,448,0.155727786
北屯區,26,107.3,7,無,512,0.681402165
大里區,0,112.84,6,有,558,0.187160236
沙鹿區,1,212.44,11,無,1650,0.645488779
東區,4,148.68,7,有,845,0.214816804
太平區,3,173.55,7,有,900,0.008684717
大肚區,0,138.58,7,有,807,0.128823226
北屯區,12,127.65,7,有,785,0.223421391
北區,24,62.75,3,無,330,0.246030312
清水區,0,103.31,3,有,488,0.989171547
北屯區,40,103.74,9,無,615.7892,0.275855277
大里區,0,123.65,5,有,743,0.018535487
清水區,3,187.08,6,有,660,0.740347959
沙鹿區,1,78.29,4,有,398,0.54998477
清水區,0,192.14,10,無,1098,0.153781462
南屯區,26,137.43,7,有,600,0.995555517
北屯區,28,109.33,7,無,458,0.230999829
南區,25,120.38,7,有,650,0.494974239
北區,26,211.35,8,有,1250,0.591635976
大里區,16,169.73,7,有,880,0.129703208
大甲區,21,224.05,11,無,566,0.653847932
西區,27,57.86,3,無,360,0.389060949
西區,14,180.62,9,有,1240,0.324720912
太平區,27,135.41,7,有,580,0.075187083
西區,42,138.18,8,無,595,0.676066388
西屯區,19,34.77,3,無,258,0.832211675
北區,15,106.95,5,有,700,0.318913502
西屯區,27,79.79,7,無,435,0.164970224
南區,41,70.2,5,無,265,0.830810945
清水區,0,145.51,10,無,1120,0.186999466
西屯區,0,164.61,7,有,1226,0.944439939
清水區,0,111.14,5,有,467,0.343318716
太平區,1,284.95,15,無,3050,0.844419993
西屯區,0,121.02,5,有,1015,0.260611327
北屯區,38,289.09,11,無,500,0.958204938
西屯區,0,164.61,7,有,1150,0.558664366
北屯區,0,216.05,8,有,1930,0.152538205
西屯區,14,151.69,10,有,1050,0.734890697
東區,25,89.49,7,有,480,0.969102564
大里區,14,65.89,3,無,260,0.499466356
西區,30,24.15,3,無,180,0.316645926
梧棲區,0,167.59,9,無,1135,0.865321983
南屯區,0,108.12,4,有,598,0.765511698
東區,30,41.65,3,無,172,0.594376178
清水區,0,209.57,9,無,1265,0.582364642
北屯區,0,151,7,有,955,0.761982646
大里區,0,137.69,5,有,770,0.204031834
北屯區,4,166.45,7,有,958,0.298123581
北區,27,77.53,4,無,420,0.379785964
北區,16,71.41,4,無,440,0.817851969
龍井區,1,167.34,10,無,988,0.907870115
龍井區,30,28.71,3,無,95,0.849650288
太平區,42,84.8,10,無,955,0.054186761
北區,25,119.72,7,無,565,0.591437104
大肚區,0,103.98,7,有,540,0.064619229
西屯區,6,350.77,9,有,2550,0.990723132
烏日區,6,156.24,7,有,785,0.581340917
西屯區,30,99.82,6,無,462,0.915535612
梧棲區,1,407.62,11,無,1580,0.274436767
大肚區,0,171.19,10,無,870,0.283792859
南區,29,189.55,8,有,988,0.2903209
北區,4,307.18,8,有,2350,0.563871689
南區,0,97.49,6,無,378,0.149797685
西屯區,0,119.03,5,有,969,0.976911563
南屯區,6,268.67,7,有,2388,0.979174548
梧棲區,0,210.81,11,無,900,0.819074787
沙鹿區,8,294.63,12,無,2080,0.3782848
太平區,40,115.98,13,無,1250,0.029100366
北屯區,29,257.41,11,無,1500,0.412167472
大甲區,0,150.67,9,無,760,0.204885891
南區,20,86.87,5,無,500,0.97739652
西屯區,25,36.09,3,無,218,0.130387541
大里區,0,115.05,6,有,530,0.854355474
大肚區,0,195.27,10,無,960,0.239072356
西屯區,26,168.26,7,有,888,0.01921769
北屯區,0,149.94,7,有,947,0.204872042
大里區,1,170.73,7,有,1171,0.457272441
北屯區,0,153.23,7,有,988,0.841216942
梧棲區,5,176.5,12,無,1042,0.602497812
清水區,0,157.38,7,有,655,0.420594486
西屯區,19,154.3,7,有,1188,0.419880661
大里區,0,124.75,5,有,733,0.595895229
東區,0,159.95,7,有,1000,0.230554878
南屯區,24,205.42,10,無,1228,0.88164357
西區,22,75.61,7,無,528,0.978915773
潭子區,26,130.61,7,有,615,0.158687697
豐原區,0,159.74,7,有,760,0.182955087
北區,14,224.97,11,無,1960,0.433133704
大里區,27,139.27,7,無,437,0.665673448
北區,18,72.08,5,無,432,0.746815717
大里區,0,150.16,7,有,875,0.331562165
北屯區,27,125.34,7,有,675,0.837650362
北屯區,1,126.73,4,有,858,0.566796645
南屯區,0,255.42,8,有,2466,0.256551278
烏日區,0,155.44,7,有,758,0.809362944
龍井區,0,86.99,4,無,410,0.807079553
大里區,2,154.07,7,有,1025,0.654748512
大肚區,0,105.12,7,有,568,0.946320381
龍井區,0,147.72,9,無,805,0.455847518
烏日區,1,185.96,11,無,1286,0.807290653
大雅區,0,212.77,12,無,1600,0.966567882
豐原區,27,419.16,15,無,1740,0.953339258
西屯區,3,221.07,7,有,1920,0.051658049
南屯區,0,80.49,5,有,900,0.450134146
大肚區,0,195.35,10,無,960,0.693004794
北屯區,21,151.56,7,有,779,0.148893812
大里區,4,185.46,7,有,1000,0.805435872
南屯區,0,71.23,4,無,493,0.061009873
大里區,0,126.19,5,有,683,0.170792266
大里區,0,141.7,7,有,656,0.395850309
西屯區,14,45.91,3,無,375,0.968322103
南屯區,34,119.97,8,無,1330,0.278545665
沙鹿區,5,245.45,20,有,1290,0.928238174
北屯區,0,153.4,7,有,1014,0.289057935
北屯區,15,277.99,12,有,1760,0.057187602
南區,25,108.59,6,有,575,0.397910639
西屯區,25,24.37,3,無,150,0.410562133
豐原區,1,93.98,5,無,645,0.364483737
北屯區,1,213.33,12,無,2270,0.666750847
沙鹿區,36,120.75,6,無,410,0.638218475
南區,26,128.19,6,有,550,0.229612655
太平區,38,97.44,7,無,1050,0.635513407
西屯區,0,198,7,有,1600,0.526525107
北屯區,26,117.75,7,無,630,0.313795132
大里區,3,318.74,14,無,2050,0.428051093
潭子區,36,112.44,6,無,480,0.030216821
西屯區,0,181.8,7,有,1430,0.797391626
大甲區,42,81,9,無,1150,0.273977993
神岡區,2,92.21,6,有,615,0.026979957
南屯區,0,72.94,4,無,484,0.913522528
北區,21,159,9,有,872,0.542156289
北屯區,0,130.39,5,有,933,0.229698877
南屯區,0,93.95,5,有,1088,0.268872692
南屯區,0,109.37,5,有,1095,0.256720818
北屯區,1,356.77,14,無,3050,0.375157466
烏日區,33,180.48,9,無,1550,0.616609936
南屯區,0,165.18,8,有,1812,0.750345503
西屯區,13,160.16,7,有,1100,0.361244235
西區,10,79.82,3,有,820,0.319230104
西區,0,162.58,7,有,1188,0.910120605
中區,25,33.37,3,無,126,0.74246141
南區,23,130.09,7,有,655,0.962717276
北屯區,2,217.51,8,有,1838,0.306820069
大里區,0,222.11,14,無,1770,0.551811799
北屯區,0,124.31,4,有,816,0.719036062
豐原區,0,105.79,5,有,542,0.719343545
烏日區,15,153.34,12,無,1020,0.112191265
太平區,6,106.52,5,有,700,0.942952041
豐原區,27,214.71,9,無,714.2,0.745454332
西屯區,10,78.22,4,無,548.8,0.46094228
東區,32,37.6,10,無,170,0.692384426
南屯區,2,139.22,7,有,1215,0.681836392
北區,1,498.68,55,無,6930,0.790247998
東區,12,224.02,10,無,1875,0.43961509
大肚區,47,148.74,6,無,465,0.363595832
南屯區,21,237.13,11,無,2708,0.375270465
豐原區,0,130.54,7,有,656,0.127266798
西屯區,0,127.09,6,有,946,0.2697652
大肚區,60,96.6,9,無,1088,0.794052989
北屯區,0,149.43,7,有,956,0.243888549
大里區,16,83.3,6,無,510,0.953831577
北屯區,0,158.85,7,有,1060,0.528180467
南屯區,1,255.08,7,有,2182,0.544266166
南區,21,139.39,7,有,700,0.89639266
烏日區,0,254.25,8,有,1329,0.94040375
東區,14,120.98,7,有,670,0.493558802
烏日區,0,153.67,7,有,735,0.098238255
西屯區,17,96.73,7,無,760,0.839819809
西屯區,1,128.34,5,有,1100,0.045435727
清水區,0,127.31,5,有,411,0.489971885
烏日區,0,122.27,5,有,610,0.417410484
西屯區,1,189.4,7,有,1613,0.267956347
北屯區,0,133.52,6,有,731,0.865101322
西屯區,35,68.96,6,無,420,0.226740574
西區,31,53.68,3,無,400,0.54211026
清水區,0,157.38,7,有,635,0.934653638
清水區,0,109.13,5,無,449,0.102685513
北區,1,127.3,5,有,955,0.883156424
南屯區,38,76.11,6,無,460,0.510576558
北區,24,31.92,3,無,138,0.980025539
大甲區,0,128.93,6,有,665,0.347920967
西屯區,28,312.66,4,有,885,0.865430888
大里區,45,119.07,9,無,1800,0.587838549
北屯區,28,154,8,有,706,0.707520085
南區,0,159.91,7,有,1080,0.935528659
大里區,40,94.6,8,無,810,0.34575426
